"Geographic name","Incompletely enumerated Indian reserves and Indian settlements","Population","Total private dwellings","Private dwellings occupied by usual residents"
R2X,,16144,6631,6363
R2Y,,19852,8560,8396
R3A,,4178,1816,1575
R3B,,11978,5900,5484
R3C,,17223,9986,9204
R3E,,18473,7529,7109
R3G,,24489,10855,10277
R3H,,109,39,36
R3J,,26938,12739,12359
R3K,,11985,5167,5071
R3L,,20242,11428,10968
R3M,,22068,10782,10419
R3N,,16405,7446,7147
R3P,,18052,6929,6734
R3R,,25790,9937,9815
R3S,,417,138,138
R3T,,43577,18131,17698
R3V,,5924,2190,2160
R3W,,4405,1571,1559
R3X,,10198,3384,3330
R3Y,,8890,2753,2713
R4A,,3241,1088,1065
R4H,,1861,437,433
R4J,,851,291,285
R4K,,995,258,254
R4L,,971,357,349
R5A,,2651,901,890
R5G,,16520,5914,5745
R5H,,5332,1866,1805
R6M,,8099,3240,3139
R6W,,14088,4571,4460
R7A,,25313,11285,10770
R7B,,19113,8243,8013
R7C,,1048,541,510
R7N,,9855,4734,4388
R8A,,6055,2958,2581
R8N,,13824,5430,4979
R9A,,8290,3647,3192
S0A,,53146,27904,22713
S0C,,20857,10570,8441
S0E,,33089,15854,13281
S0G,,61106,30587,24381
S0H,,22539,11773,9327
S0J,,47715,22867,15804
S0K,,71442,29950,26868
S0L,,30047,14060,12047
S0M,,45045,20628,15491
S0N,,22074,10125,8334
S0P,,6651,2212,1842
S2V,,601,383,249
S3N,,17380,7845,7437
S4A,,11204,4890,4644
S4H,,10263,4586,4349
S4L,,1614,508,504
S4N,,28641,12211,11651
S4P,,12191,8034,7131
S4R,,33653,14203,13664
S4S,,32692,14769,14152
S4T,,31316,14730,13700
S4V,,19935,7382,7227
S4W,,31,13,13
S4X,,19785,7093,7003
S4Y,,2565,772,767
S4Z,,409,146,141
S6H,,28756,13284,12358
S6J,,3693,1559,1466
S6K,,709,242,239
S6V,,39753,16155,15173
S6W,,5,2,2
S6X,,1068,348,343
S7H,,34676,16661,15727
S7J,,30945,12795,12400
S7K,,38213,17556,16636
S7L,,36753,14948,14257
S7M,,28793,12680,11550
S7N,,27765,12791,11722
S7P,,113,41,40
S7R,,96,35,32
S7S,,5519,1950,1891
S7T,,1693,606,586
S7V,,4963,2086,1992
S7W,,752,249,238
S9A,,14232,6267,5840
S9H,,16370,7519,7191
S9V,,10152,4020,3777
S9X,,7301,2765,2572
T0A,,53490,23224,19452
T0B,,59794,24669,22594
T0C,,58578,24824,21216
T0E,,41693,19920,15801
T0G,,41935,16367,14256
T0H,,78570,28724,26664
T0J,,48838,18307,17117
T0K,,51009,18473,16733
T0L,,51695,19267,17671
T0M,,63514,26319,23711
T0P,,2590,1088,904
T0V,,10,8,7
T1A,,26632,12674,11944
T1B,,25649,10083,9810
T1C,,7075,2886,2707
T1G,,10241,3785,3585
T1H,,23249,9835,9398
T1J,,14884,7076,6528
T1K,,39526,16966,15584
T1L,,6678,2834,2560
T1M,,7926,2830,2758
T1P,,13016,4946,4766
T1R,,15110,6062,5754
T1S,,20801,7178,6998
T1V,,13269,5337,5101
T1W,,12530,6833,4955
T1X,,9928,3344,3239
T1Y,,53924,17702,17124
T2A,,56156,20961,20108
T2B,,22863,9250,8860
T2C,,19350,7501,7237
T2E,,31982,16423,15408
T2G,,11574,6003,5627
T2H,,8317,3995,3852
T2J,,47793,18383,17979
T2K,,34712,15021,14480
T2L,,13052,5803,5563
T2M,,19140,9332,8611
T2N,,23015,11851,11054
T2P,,14069,8308,7561
T2R,,11458,7794,7365
T2S,,14775,8322,7867
T2T,,27189,15032,13845
T2V,,31644,14645,14218
T2W,,43117,16738,16378
T2X,,26790,8680,8550
T2Y,,45902,17105,16588
T2Z,,41822,15033,14641
T3A,,53901,19109,18693
T3B,,35620,14828,14287
T3C,,21631,11110,10460
